date,phase,dojo_new,ascp_cp_new,ascp_heme_new,dojo_first_redo,ascp_first_redo,repeat_capacity,timed_questions
2026-09-14,cancelled,0,0,0,0,0,0,0
2026-09-15,cancelled,0,0,0,0,0,0,0
2026-09-16,cancelled,0,0,0,0,0,0,0
2026-09-17,cancelled,0,0,0,0,0,0,0
2026-09-18,first_pass,53,9,3,0,0,0,0
2026-09-19,first_pass,52,10,3,0,0,0,0
2026-09-20,first_pass,52,10,3,8,2,0,0
2026-09-21,first_pass,52,10,3,8,2,0,0
2026-09-22,first_pass,52,10,3,8,2,0,0
2026-09-23,first_pass,52,9,4,8,2,0,0
2026-09-24,first_pass,52,9,4,8,2,0,0
2026-09-25,first_pass,52,9,4,8,2,0,0
2026-09-26,first_pass,52,9,3,8,2,0,0
2026-09-27,first_pass,52,9,3,8,2,0,0
2026-09-28,first_pass,52,9,3,8,2,0,0
2026-09-29,first_pass,52,9,3,8,2,0,0
2026-09-30,first_pass,52,9,3,8,2,0,0
2026-10-01,first_pass,52,9,3,8,2,0,0
2026-10-02,first_pass,52,9,3,8,2,0,0
2026-10-03,first_pass,52,9,3,8,2,0,0
2026-10-04,first_pass,52,9,3,8,2,0,0
2026-10-05,first_redo,0,0,0,52,12,0,0
2026-10-06,first_redo,0,0,0,52,12,0,0
2026-10-07,first_redo,0,0,0,52,12,0,0
2026-10-08,first_redo,0,0,0,51,12,0,0
2026-10-09,first_redo,0,0,0,51,12,0,0
2026-10-10,first_redo,0,0,0,51,12,0,0
2026-10-11,first_redo,0,0,0,51,12,0,0
2026-10-12,first_redo,0,0,0,51,13,0,0
2026-10-13,repeat,0,0,0,0,0,80,0
2026-10-14,repeat,0,0,0,0,0,80,0
2026-10-15,repeat,0,0,0,0,0,80,55
2026-10-16,repeat,0,0,0,0,0,80,0
2026-10-17,light,0,0,0,0,0,0,0
2026-10-18,light,0,0,0,0,0,0,0
