course	minutes	title	path
Micro	11	Staphylococcus aureus	gram-positive-cocci/lesson/staphylococcus-aureus
Micro	6	Staphylococcus epidermidis & saprophyticus	gram-positive-cocci/lesson/staphylococcus-epidermidis-saprophyticus
Micro	15	Streptococcus pyogenes (Group A Strep)	gram-positive-cocci/lesson/streptococcus-pyogenes-group-a-strep
Micro	5	Streptococcus agalactiae (Group B Strep)	gram-positive-cocci/lesson/streptococcus-agalactiae-group-b-strep
Micro	9	Streptococcus pneumoniae & viridans	gram-positive-cocci/lesson/streptococcus-pneumoniae-viridans
Micro	4	Enterococcus faecium & faecalis	gram-positive-cocci/lesson/enterococcus-faecium-faecalis
Micro	7	Streptococcus gallolyticus (Group D Strep)	gram-positive-cocci/lesson/streptococcus-gallolyticus-group-d-strep
Micro	10	Bacillus anthracis & cereus	gram-positive-bacilli/lesson/bacillus-anthracis-cereus
Micro	7	Clostridium tetani	gram-positive-bacilli/lesson/clostridium-tetani
Micro	8	Clostridium botulinum	gram-positive-bacilli/lesson/clostridium-botulinum
Micro	6	Clostridium perfringens	gram-positive-bacilli/lesson/clostridium-perfringens
Micro	11	Clostridioides difficile	gram-positive-bacilli/lesson/clostridioides-difficile
Micro	7	Corynebacterium diphtheriae	gram-positive-bacilli/lesson/corynebacterium-diphtheriae
Micro	4	Listeria monocytogenes	gram-positive-bacilli/lesson/listeria-monocytogenes
Micro	3	Actinomyces israelii	gram-positive-branching-filamentous-rods/lesson/actinomyces-israelii
Micro	7	Nocardia asteroides	gram-positive-branching-filamentous-rods/lesson/nocardia-asteroides
Micro	6	Neisseria Overview	gram-negative-cocci/lesson/neisseria-overview
Micro	14	Neisseria meningitidis	gram-negative-cocci/lesson/neisseria-meningitidis
Micro	10	Neisseria gonorrhoeae	gram-negative-cocci/lesson/neisseria-gonorrhoeae
Micro	7	Moraxella catarrhalis	gram-negative-cocci/lesson/moraxella-catarrhalis
Micro	8	Klebsiella pneumoniae, Enterobacter spp., Serratia marcescens	gram-negative-bacilli-enteric-tract/lesson/klebsiella-pneumoniae-enterobacter-spp-serratia-marcescens
Micro	9	Salmonella: Intro to Salmonella & NTS	gram-negative-bacilli-enteric-tract/lesson/salmonella-intro-to-salmonella-nts
Micro	8	Salmonella: Typhoidal Salmonella	gram-negative-bacilli-enteric-tract/lesson/salmonella-typhoidal-salmonella
Micro	6	Shigella spp.	gram-negative-bacilli-enteric-tract/lesson/shigella-spp
Micro	9	Escherichia coli (ETEC & EHEC)	gram-negative-bacilli-enteric-tract/lesson/escherichia-coli-etec-ehec
Micro	8	Yersinia enterocolitica & pestis	gram-negative-bacilli-enteric-tract/lesson/yersinia-enterocolitica-pestis
Micro	6	Campylobacter jejuni	gram-negative-bacilli-enteric-tract/lesson/campylobacter-jejuni
Micro	5	Vibrio spp.	gram-negative-bacilli-enteric-tract/lesson/vibrio-spp
Micro	5	Helicobacter pylori	gram-negative-bacilli-enteric-tract/lesson/helicobacter-pylori
Micro	3	Proteus mirabilis	gram-negative-bacilli-enteric-tract/lesson/proteus-mirabilis
Micro	11	Bacteroides fragilis	gram-negative-bacilli-enteric-tract/lesson/bacteroides-fragilis
Micro	8	Bordetella pertussis	gram-negative-bacilli-respiratory-tract/lesson/bordetella-pertussis
Micro	9	Haemophilus influenzae	gram-negative-bacilli-respiratory-tract/lesson/haemophilus-influenzae
Micro	7	Legionella pneumophila	gram-negative-bacilli-respiratory-tract/lesson/legionella-pneumophila
Micro	10	Pseudomonas aeruginosa	gram-negative-bacilli-respiratory-tract/lesson/pseudomonas-aeruginosa
Micro	6	Burkholderia pseudomallei & cepacia complex	gram-negative-bacilli-respiratory-tract/lesson/burkholderia-pseudomallei-cepacia-complex
Micro	4	Bartonella henselae	gram-negative-bacilli-zoonotics/lesson/bartonella-henselae
Micro	5	Brucella spp.	gram-negative-bacilli-zoonotics/lesson/brucella-spp
Micro	4	Francisella tularensis	gram-negative-bacilli-zoonotics/lesson/francisella-tularensis
Micro	4	Pasteurella multocida	gram-negative-bacilli-zoonotics/lesson/pasteurella-multocida
Micro	6	Anaplasma phagocytophilum & Ehrlichia chaffeensis	gram-negative-bacilli-zoonotics/lesson/anaplasma-phagocytophilum-ehrlichia-chaffeensis
Micro	17	Mycobacterium tuberculosis	mycobacteria/lesson/mycobacterium-tuberculosis
Micro	9	Mycobacterium leprae	mycobacteria/lesson/mycobacterium-leprae
Micro	7	Mycobacterium avium intracellulare, Mycobacterium scrofulaceum, Mycobacterium marinum	mycobacteria/lesson/mycobacterium-avium-intracellulare-mycobacterium-scrofulaceum-mycobacterium-marinum
Micro	8	Borrelia burgdorferi	spirochetes/lesson/borrelia-burgdorferi
Micro	6	Borrelia recurrentis	spirochetes/lesson/borrelia-recurrentis
Micro	4	Leptospira interrogans	spirochetes/lesson/leptospira-interrogans
Micro	13	Treponema pallidum	spirochetes/lesson/treponema-pallidum
Micro	15	Chlamydia trachomatis, Chlamydophila pneumoniae, Chlamydophila psittaci	gram-indeterminate-bacteria/lesson/chlamydia-trachomatis-chlamydophila-pneumoniae-chlamydophila-psittaci
Micro	5	Coxiella burnetii	gram-indeterminate-bacteria/lesson/coxiella-burnetii
Micro	6	Gardnerella vaginalis	gram-indeterminate-bacteria/lesson/gardnerella-vaginalis
Micro	6	Mycoplasma pneumoniae	gram-indeterminate-bacteria/lesson/mycoplasma-pneumoniae
Micro	4	Rickettsia Overview	gram-indeterminate-bacteria/lesson/rickettsia-overview
Micro	4	Rickettsia prowazekii	gram-indeterminate-bacteria/lesson/rickettsia-prowazekii
Micro	4	Rickettsia rickettsii	gram-indeterminate-bacteria/lesson/rickettsia-rickettsii
Micro	10	Histoplasma capsulatum	systemic-mycoses/lesson/histoplasma-capsulatum
Micro	6	Blastomyces dermatitidis	systemic-mycoses/lesson/blastomyces-dermatitidis
Micro	7	Coccidioides immitis	systemic-mycoses/lesson/coccidioides-immitis
